Address,state,zipcode,links,Address add links,"address(remove space and ad with ""+"")",links2
905 Orleans St,Beaumont,TX,77701,https://www.google.com/maps/place/,905+Orleans+St,https://www.google.com/maps/place/905+Orleans+St+Beaumont+TX+77701
404 Saratoga Springs Pl,Liberty Hill,TX,78642,https://www.google.com/maps/place/,404+Saratoga+Springs+Pl,https://www.google.com/maps/place/404+Saratoga+Springs+Pl+Liberty Hill+TX+78642
418 Kimble St,Bartlett,TX,76511,https://www.google.com/maps/place/,418+Kimble+St,https://www.google.com/maps/place/418+Kimble+St+Bartlett+TX+76511
445 High Gabriel East,Leander,TX,78641,https://www.google.com/maps/place/,445+High+Gabriel+East,https://www.google.com/maps/place/445+High+Gabriel+East+Leander+TX+78641
280 Fm 3349,Taylor,TX,76574,https://www.google.com/maps/place/,280+Fm+3349,https://www.google.com/maps/place/280+Fm+3349+Taylor+TX+76574
1400 Eagles Way,Leander,TX,78641,https://www.google.com/maps/place/,1400+Eagles+Way,https://www.google.com/maps/place/1400+Eagles+Way+Leander+TX+78641
5800 N Hwy 183,Liberty Hill,TX,78642,https://www.google.com/maps/place/,5800+N+Hwy+183,https://www.google.com/maps/place/5800+N+Hwy+183+Liberty Hill+TX+78642
750 County Road 484,Elgin,TX,78621,https://www.google.com/maps/place/,750+County+Road+484,https://www.google.com/maps/place/750+County+Road+484+Elgin+TX+78621
