Address,state,zipcode,x_coordinate,y_cordinate
905 Orleans St,Beaumont,TX,30.0797902,-94.0955604
404 Saratoga Springs Pl,Liberty Hill,TX,30.7370322,-97.8785484
418 Kimble St,Bartlett,TX,30.7944075,-97.4383256
445 High Gabriel East,Leander,TX,30.6135539,-97.8572172
280 Fm 3349,Taylor,TX,30.550084,-97.4841011
1400 Eagles Way,Leander,TX,30.5626053,-97.8687376
5800 N Hwy 183,Liberty Hill,TX,30.7389523,-97.8761354
750 County Road 484,Elgin,TX,30.428443,-97.3233774
